euc	average	4.6514342298	1.89934833304	-123344.66
euc	complete	4.6514342298	1.97649172323	-123284.97752
euc	single	4.6514342298	1.79026395715	-123511.20035
euc	ward	4.6514342298	2.43374916178	-123249.58304
geodesic	average	5.84176281467	1.89934833304	-123344.66
geodesic	complete	5.84176281467	2.47839882987	-123286.18481
geodesic	single	5.84176281467	1.79026395715	-123511.20035
geodesic	ward	5.84176281467	2.43374916178	-123249.58304
rf	average	17.3364315492	2.00796103192	-123351.20258
rf	complete	17.3364315492	2.00796103192	-123351.20258
rf	single	17.3364315492	1.77392380707	-123376.10811
rf	ward	17.3364315492	2.02246748381	-123318.04406
sym	average	8.0	0.835288334199	-122636.01337
sym	complete	8.0	1.23964469313	-122644.53658
sym	single	8.0	1.71288856229	-123494.69262
sym	ward	8.0	0.847633729676	-122595.32282
