euc	average	4.20327882314	2.00618670409	-308329.55611
euc	complete	4.20327882314	2.00618670409	-308329.55611
euc	single	4.20327882314	2.00618670409	-308329.55611
euc	ward	4.20327882314	2.31063271133	-308066.8069
geodesic	average	4.87459711412	2.00618670409	-308329.55611
geodesic	complete	4.87459711412	2.00618670409	-308329.55611
geodesic	single	4.87459711412	2.00618670409	-308329.55611
geodesic	ward	4.87459711412	2.31063271133	-308066.8069
rf	average	14.5058923336	1.95141978271	-308362.31431
rf	complete	14.5058923336	2.00618670409	-308329.55611
rf	single	14.5058923336	1.77955522896	-308397.50159
rf	ward	14.5058923336	2.07795654759	-308232.50466
sym	average	4.0	0.631481895903	-306890.1643
sym	complete	4.0	0.631481895903	-306890.1643
sym	single	4.0	0.788399090982	-307683.83601
sym	ward	4.0	0.631481895903	-306890.1643

